concurso;d1;d2;d3;d4;d5;d5;d7;mes_sorte
66;4;6;10;11;12;17;24;9
67;1;4;8;14;19;22;26;10
68;1;4;6;14;20;21;27;1
69;1;3;5;6;8;26;29;7
70;2;4;5;9;11;28;29;12
71;4;6;7;8;24;27;31;9
72;1;2;6;8;9;18;21;4
73;8;9;10;11;14;18;23;8
74;6;12;15;17;20;23;29;6
75;2;3;6;14;28;30;31;1
76;10;15;16;21;25;26;29;10
77;6;7;11;12;14;19;21;9
78;4;6;8;13;14;19;23;10
79;1;8;10;12;15;21;28;9
80;2;3;4;10;18;19;28;6
81;6;10;12;25;26;27;29;2
82;2;9;10;13;16;17;22;4
83;2;9;10;13;15;21;26;5
84;7;10;15;16;18;19;24;5
85;3;7;21;22;23;26;31;6
86;3;6;8;9;11;19;26;2
87;7;9;10;15;18;21;22;1
88;3;4;17;18;19;23;27;5
89;3;6;16;18;19;24;31;7
90;1;5;6;8;12;23;26;5
91;8;10;15;16;23;28;29;4
92;5;7;8;9;15;26;29;12
93;1;8;9;16;21;23;30;8
94;7;10;13;15;19;23;26;9
95;5;7;8;18;20;23;28;7
96;3;4;9;15;17;28;29;5
97;1;10;12;22;23;25;28;11
98;1;3;7;12;26;27;28;9
99;4;14;20;27;28;29;30;3
100;3;4;8;15;16;20;21;5
101;4;5;9;13;19;20;29;12
102;4;7;10;19;22;26;28;5
103;4;5;19;23;25;26;31;1
104;3;13;20;25;26;27;30;12
105;3;7;8;12;21;24;29;8
106;5;8;17;20;25;26;28;12
107;4;7;13;15;18;20;23;6
108;2;6;15;17;22;24;25;11
109;3;18;20;23;24;26;28;7
110;4;8;10;11;14;18;26;3
111;1;6;8;14;17;21;26;2
112;11;13;18;21;24;25;26;12
113;6;9;10;12;17;27;30;5
114;7;8;9;23;26;29;31;11
115;7;8;13;16;18;21;22;2
116;2;5;12;16;18;24;30;3
117;5;7;9;16;18;20;27;10
118;2;5;7;9;15;22;30;10
119;2;3;6;12;24;25;28;11
120;2;8;16;21;22;27;28;2
121;3;9;10;12;14;19;24;7
122;12;13;14;15;16;23;31;4
123;6;11;16;18;19;21;23;8
124;12;15;20;21;22;24;27;11
125;1;8;12;13;17;26;30;12
126;9;11;14;18;24;27;29;8
127;1;5;7;9;17;21;22;5
128;2;7;8;15;19;20;22;5
129;6;12;13;15;16;28;29;10
130;5;8;10;20;23;25;28;1
131;4;5;11;22;26;27;30;3
132;3;11;14;18;19;23;26;10
133;1;4;8;10;20;22;31;3
134;1;2;8;10;14;16;18;5
135;2;5;6;11;25;27;28;1
136;17;19;20;21;23;27;30;3
137;3;5;6;8;16;19;28;12
138;9;13;15;17;21;27;29;6
139;3;4;11;13;18;19;22;7
140;5;8;9;12;14;17;22;3
141;2;7;9;15;23;25;30;7
142;6;11;18;21;23;29;30;6
143;5;10;11;15;22;29;31;1
144;2;4;7;8;13;15;27;11
145;2;3;6;10;11;13;15;12
146;1;8;9;17;18;19;23;3
147;2;3;6;8;9;22;27;1
148;7;9;11;18;21;22;29;9
149;3;16;20;21;25;26;30;8
150;1;2;7;16;17;26;29;8
151;3;11;13;17;22;29;31;11
152;1;3;5;10;14;25;31;7
153;2;13;21;23;25;29;30;6
154;3;5;9;14;21;29;30;12
155;3;13;15;16;25;27;28;5
156;1;3;7;15;16;29;31;4
157;2;10;17;18;20;25;29;12
158;7;14;20;23;27;28;29;3
159;1;10;14;17;23;28;31;10
160;4;8;9;12;13;25;30;11
161;2;3;5;14;15;20;25;12
162;6;10;11;14;20;24;25;7
163;7;10;16;18;24;25;27;12
164;7;10;12;13;17;21;22;9
165;4;5;7;8;11;19;24;2
166;6;7;11;19;22;23;25;9
167;10;11;12;13;15;20;26;8
168;1;3;4;20;23;25;26;3
169;9;11;14;18;24;26;29;10
170;1;9;10;11;15;20;21;6
171;3;7;11;18;20;23;29;12
172;3;6;10;21;25;27;30;10
173;2;7;11;13;25;27;28;4
174;3;5;6;7;17;19;25;2
175;4;6;7;17;21;26;31;12
176;3;4;6;9;10;18;29;6
177;3;11;17;18;24;25;28;10
178;2;3;4;9;12;23;24;9
179;3;4;5;11;21;24;30;10
180;5;13;20;21;23;25;30;11
181;6;8;10;15;17;26;28;8
182;2;3;7;15;22;26;31;10
183;5;7;16;17;21;24;27;11
184;6;9;10;14;16;17;22;8
185;7;11;18;21;24;28;29;6
186;6;15;17;22;23;26;27;9
187;1;3;6;15;17;23;26;10
188;8;12;21;23;24;26;28;5
189;2;7;13;16;18;20;29;11
190;3;4;5;6;14;16;27;7
191;3;4;11;24;26;28;29;10
192;4;11;14;15;18;28;31;12
193;12;13;16;25;28;30;31;7
194;3;4;7;9;15;21;23;1
195;2;3;5;14;15;22;23;2
196;4;13;14;22;26;29;30;8
197;1;2;4;11;17;18;28;4
198;1;2;9;10;16;23;28;1
199;2;15;20;21;22;23;24;7
200;10;12;13;17;21;23;27;2
201;2;7;9;13;14;16;29;6
202;5;6;7;11;21;26;29;9
203;2;3;7;10;15;17;20;12
204;2;11;20;21;27;28;31;6
205;5;6;9;17;19;20;23;5
206;13;16;21;23;24;27;28;12
207;1;5;8;10;12;25;28;7
208;2;4;17;21;28;29;31;Outubro
209;5;7;14;17;19;23;29;Agosto
210;7;10;18;19;20;23;27;Dezembro
211;1;5;13;24;26;27;29;Maio
212;5;11;14;17;18;26;30;Outubro
213;6;9;10;18;21;24;26;Setembro
214;2;9;11;13;21;28;29;Maio
215;4;7;11;13;15;18;25;Junho
216;5;8;9;14;25;28;30;Agosto
217;2;6;16;17;18;20;26;Setembro
218;2;3;11;12;17;18;21;Setembro
219;3;6;10;16;17;25;28;"Mar&ccedil;o"
220;2;4;9;17;19;25;31;Fevereiro
221;3;6;7;9;15;27;31;Dezembro
222;3;12;13;16;18;19;27;Abril
223;3;4;10;11;14;19;28;Dezembro
224;1;6;8;14;17;19;23;"Mar&ccedil;o"
225;1;7;12;14;22;24;26;Abril
226;1;4;8;12;22;24;28;Fevereiro
227;2;11;12;15;17;20;25;Junho
228;4;10;14;18;21;22;23;Dezembro
229;9;13;15;21;25;27;30;Junho
230;5;8;12;18;24;27;29;Maio
231;4;10;12;13;14;24;26;Fevereiro
232;4;5;6;12;15;16;26;Novembro
233;3;6;7;16;22;23;28;Dezembro
234;4;5;13;17;23;24;29;Dezembro
235;13;17;18;19;22;27;29;Agosto
236;4;5;6;9;11;19;23;Abril
237;3;6;14;18;19;29;31;Agosto
238;1;2;10;19;24;26;28;Agosto
239;5;13;15;23;27;29;30;Agosto
240;1;4;8;13;19;22;25;Outubro
241;3;5;6;12;20;23;31;Julho
242;2;3;5;9;16;19;25;Fevereiro
243;2;4;8;13;14;17;22;Fevereiro
244;1;6;12;13;15;16;29;Dezembro
245;1;5;7;14;21;30;31;Maio
246;9;10;14;16;18;19;24;Maio
247;2;9;10;12;17;25;28;Agosto
248;2;5;14;16;17;18;22;Junho
249;3;8;12;20;21;27;29;Setembro
250;1;5;10;14;15;29;30;Dezembro
251;5;11;14;18;20;27;31;"Mar&ccedil;o"
252;4;9;12;19;25;28;31;Dezembro
253;4;12;14;19;23;28;29;Abril
254;18;20;21;22;25;27;31;Fevereiro
255;3;11;23;24;25;28;30;Julho
256;1;5;12;16;27;30;31;Dezembro
257;5;12;17;19;21;24;28;Maio
258;1;2;3;9;13;24;30;Julho
259;6;9;10;13;21;26;29;Setembro
260;5;8;10;12;18;24;31;Junho
261;5;8;9;18;23;26;31;Abril
262;4;5;17;18;20;27;28;Junho
263;9;18;19;21;23;27;30;Dezembro
264;13;15;22;23;25;30;31;Dezembro
265;2;3;14;16;17;20;27;Novembro
266;1;3;10;14;17;30;31;Dezembro
267;1;2;6;9;13;20;30;Outubro
268;2;3;14;16;17;21;29;"Mar&ccedil;o"
269;1;4;6;9;26;27;31;Junho
270;1;2;3;4;24;27;28;"Mar&ccedil;o"
271;7;15;17;20;21;24;29;Julho
272;3;5;6;10;12;16;21;Fevereiro
273;3;11;12;19;20;26;28;Novembro
274;2;3;4;6;8;10;30;"Mar&ccedil;o"
275;7;10;12;14;24;27;28;Novembro
276;4;5;15;16;18;27;30;Agosto
277;2;3;10;13;21;22;31;Agosto
278;5;8;13;21;22;24;26;Setembro
279;3;7;10;13;24;25;28;Novembro
280;2;3;10;13;17;24;28;Junho
281;5;7;9;14;24;26;31;Maio
282;7;8;16;22;23;25;31;Novembro
283;2;8;17;20;21;22;24;Maio
284;1;3;4;5;18;22;25;Agosto
285;10;15;17;18;21;22;23;Agosto
286;4;5;19;23;28;29;30;Fevereiro
287;10;14;15;16;18;24;30;Outubro
288;7;11;16;21;23;28;30;Janeiro
289;2;4;14;17;19;21;30;Fevereiro
290;5;12;13;18;21;23;29;Fevereiro
291;2;3;5;7;10;17;20;Novembro
292;1;4;5;19;22;23;24;Novembro
293;3;7;13;20;25;27;28;Novembro
294;4;5;10;12;14;19;24;Outubro
295;1;4;5;9;10;22;30;Maio
296;4;6;13;18;21;22;27;"Mar&ccedil;o"
297;10;13;14;15;20;23;29;Abril
298;3;4;8;9;16;24;31;Janeiro
299;3;14;15;17;20;21;22;Abril
300;10;15;16;17;24;25;31;Novembro
301;11;18;22;27;28;29;30;Novembro
302;1;4;7;10;15;25;31;Janeiro
303;5;13;15;16;18;25;30;Abril
304;1;2;16;23;24;25;30;Janeiro
305;4;8;9;10;20;25;28;Agosto
306;3;11;12;13;20;24;30;Fevereiro
307;4;8;14;15;16;24;27;Janeiro
308;10;11;16;20;21;23;28;Janeiro
309;2;5;10;11;12;18;19;Junho
310;6;7;9;10;13;14;21;Abril
311;1;3;9;16;17;21;22;Abril
312;2;9;15;22;24;29;30;Abril
313;9;12;16;19;24;28;29;Outubro
314;1;7;9;11;22;25;26;Novembro
315;9;10;19;22;26;27;28;Julho
316;1;10;13;14;16;22;30;Novembro
317;5;7;8;14;15;22;28;Fevereiro
318;6;11;14;16;18;28;30;Dezembro
319;3;10;14;17;28;29;30;Dezembro
320;4;9;12;13;15;26;27;Novembro
321;7;13;21;22;26;29;31;Janeiro
322;4;9;12;19;20;26;28;Abril
323;1;9;24;25;27;29;30;Agosto
324;3;6;14;18;24;27;30;Maio
325;7;8;19;20;21;24;26;Julho
326;1;10;15;16;22;24;29;Agosto
327;4;9;13;15;21;23;25;Setembro
328;11;14;17;20;23;25;27;Dezembro
329;2;6;9;17;18;19;22;"Mar&ccedil;o"
330;7;10;11;17;23;24;29;"Mar&ccedil;o"
331;7;8;23;26;29;30;31;Fevereiro
332;6;8;9;14;15;18;25;Agosto
333;5;10;13;16;18;20;22;Agosto
334;3;5;12;14;19;24;28;Outubro
335;1;3;5;10;13;14;26;Abril
336;4;8;11;13;23;26;28;Abril
337;1;6;7;20;21;27;30;Abril
338;3;8;10;11;14;23;24;Junho
339;1;5;9;10;23;24;25;Janeiro
340;4;7;16;17;20;27;28;Junho
341;1;5;8;10;11;13;27;Agosto
342;2;7;8;11;12;20;30;Fevereiro
343;1;7;11;25;26;29;31;"Mar&ccedil;o"
344;1;2;17;23;24;25;31;Abril
345;5;7;8;13;22;26;30;Maio
346;14;15;17;21;24;25;31;Abril
347;6;8;19;20;22;23;29;Setembro
348;2;10;18;19;24;26;27;Janeiro
349;2;10;17;25;26;28;29;Outubro
350;7;16;20;23;24;25;26;Novembro
351;4;8;9;11;18;19;26;Junho
352;5;11;12;15;18;22;26;Agosto
353;9;16;20;22;24;28;30;Julho
354;6;8;20;21;24;28;29;Dezembro
355;4;12;13;16;19;22;31;Julho
356;1;2;10;15;22;23;28;"Mar&ccedil;o"
357;3;4;6;11;23;24;26;Setembro
358;3;4;5;15;25;27;29;Fevereiro
359;6;9;14;20;21;22;25;Dezembro
360;10;11;13;19;25;27;30;Outubro
361;1;4;5;12;14;22;27;Julho
362;3;7;10;19;29;30;31;Maio
363;2;11;12;13;14;18;30;Outubro
364;3;6;7;12;15;23;28;Janeiro
365;6;11;14;15;17;19;21;Janeiro
366;17;19;23;25;26;29;31;Novembro
367;6;15;17;22;23;26;29;"Mar&ccedil;o"
368;12;20;21;22;24;26;28;Junho
369;10;15;16;17;19;21;30;Outubro
370;4;6;11;15;19;21;22;Agosto
371;3;11;12;16;24;29;31;Setembro
372;2;4;19;20;23;26;27;Dezembro
373;5;10;21;25;26;29;31;Abril
374;3;8;9;20;21;23;27;"Mar&ccedil;o"
375;4;8;9;13;20;23;30;Dezembro
376;7;9;10;13;20;22;25;"Mar&ccedil;o"
377;1;11;12;13;17;29;31;Outubro
378;11;13;18;21;23;25;27;Agosto
379;3;7;14;21;24;26;27;"Mar&ccedil;o"
380;5;15;17;22;26;28;31;Junho
381;14;15;16;17;22;24;29;Dezembro
382;10;13;17;20;22;26;28;Junho
383;2;9;11;16;22;24;30;"Mar&ccedil;o"
384;2;3;6;9;10;15;26;Maio
385;4;6;7;14;15;22;31;Junho
386;5;10;11;20;22;29;31;Setembro
387;2;6;15;18;21;22;23;Julho
388;2;4;7;9;15;22;26;"Mar&ccedil;o"
389;5;16;23;25;27;28;29;Agosto
390;1;12;17;25;26;28;29;Fevereiro
391;5;7;10;11;13;17;23;Setembro
392;3;4;10;18;22;24;28;Outubro
393;6;13;19;21;23;27;28;"Mar&ccedil;o"
394;1;2;5;8;15;24;25;Maio
395;8;14;16;21;25;30;31;Agosto
396;1;2;14;17;23;25;26;Agosto
397;7;8;9;10;12;14;30;Abril
398;2;3;7;10;20;30;31;Agosto
399;2;7;15;19;20;23;24;Abril
400;6;12;17;19;21;23;31;Novembro
401;3;4;6;7;10;24;31;Setembro
402;1;3;5;7;20;22;29;"Mar&ccedil;o"
403;4;9;11;25;26;29;30;Abril
404;1;2;9;14;16;25;29;Novembro
405;4;5;7;11;13;18;30;Dezembro
406;1;10;11;15;19;20;22;Agosto
407;4;5;12;13;16;25;26;Fevereiro
408;10;14;17;20;25;27;29;Outubro
409;10;14;16;24;28;30;31;Janeiro
410;6;12;14;16;18;27;31;Setembro
411;3;4;8;11;19;26;27;Janeiro
412;4;9;10;12;13;19;21;Janeiro
413;3;6;9;12;16;21;22;"Mar&ccedil;o"
414;2;11;17;20;28;30;31;"Mar&ccedil;o"
415;4;8;10;14;20;27;29;Fevereiro
416;3;8;11;13;23;24;30;Outubro
417;3;8;11;17;19;21;26;Agosto
418;7;9;20;23;25;27;31;Outubro
419;2;3;10;13;17;24;31;Setembro
420;1;5;9;10;14;16;25;Setembro
421;6;9;11;14;19;22;25;Agosto
422;6;7;19;24;27;28;31;Junho
423;5;7;9;13;18;21;30;Novembro
424;1;6;11;13;23;25;31;Novembro
425;16;18;19;21;26;29;31;Junho
426;1;4;14;17;23;24;27;Maio
427;2;5;9;10;11;13;24;Julho
428;4;6;7;15;17;20;21;"Mar&ccedil;o"
429;8;15;17;19;23;27;31;Setembro
430;2;17;19;20;24;28;31;Fevereiro
431;14;20;23;24;26;27;31;Novembro
432;5;9;12;15;24;27;28;Setembro
433;1;6;7;19;25;27;31;Setembro
434;7;12;14;22;24;30;31;Setembro
435;7;8;14;21;23;26;30;Janeiro
436;4;23;24;25;26;27;31;Setembro
437;1;14;22;26;27;28;31;Fevereiro
438;3;7;10;18;19;22;28;Julho
439;1;6;14;19;23;27;28;Maio
440;2;8;13;14;17;21;24;Maio
441;1;9;14;19;28;29;30;Setembro
442;5;12;15;18;24;26;30;Dezembro
443;1;6;8;10;11;21;31;Abril
444;2;5;6;10;22;26;31;Abril
445;1;16;18;21;24;26;30;Junho
446;3;5;6;11;16;21;27;Dezembro
447;4;7;9;18;20;26;29;Abril
448;4;5;6;15;20;25;29;"Mar&ccedil;o"
449;4;6;7;16;22;23;29;Outubro
450;10;15;19;24;26;27;29;Abril
451;7;11;17;19;24;26;30;"Mar&ccedil;o"
452;2;10;14;17;20;21;26;Fevereiro
453;1;3;8;13;17;21;23;Outubro
454;3;4;10;11;13;16;17;Julho
455;9;12;13;14;21;24;29;Agosto
456;2;12;18;19;21;22;30;"Mar&ccedil;o"
457;4;8;12;14;15;22;29;Janeiro
458;9;10;14;15;22;27;28;Setembro
459;1;8;10;13;16;27;29;Fevereiro
460;7;17;18;20;21;28;31;Abril
461;2;8;11;24;25;28;29;Janeiro
462;1;5;6;10;19;21;26;Dezembro
463;5;8;10;16;22;26;30;Julho
464;7;10;11;15;21;25;31;Abril
465;1;9;20;25;27;30;31;Abril
466;2;5;8;13;15;20;25;Agosto
467;5;6;9;21;22;25;29;Maio
468;3;7;8;10;17;24;28;Abril
469;5;6;7;8;11;14;26;Julho
470;1;12;14;15;16;19;23;Outubro
471;2;3;11;12;19;24;27;Novembro
472;5;7;9;10;22;25;29;"Mar&ccedil;o"
473;2;9;11;16;20;27;28;Julho
474;6;8;9;12;14;17;19;Julho
475;10;14;15;18;23;27;29;Agosto
476;2;5;6;10;23;27;31;Outubro
477;2;5;8;12;19;23;26;"Mar&ccedil;o"
478;3;4;9;27;29;30;31;Junho
479;1;5;12;13;15;20;23;Abril
480;3;6;10;17;20;28;31;Setembro
481;4;5;11;14;23;24;31;Junho
482;1;8;18;23;25;29;30;Fevereiro
483;2;9;11;12;16;23;29;Novembro
484;1;4;9;14;20;25;26;Janeiro
485;4;20;21;22;23;26;28;Novembro
486;3;7;12;17;18;22;23;Setembro
487;2;7;12;19;20;30;31;Junho
488;1;4;9;14;15;25;29;Janeiro
489;6;8;17;18;22;24;27;Julho
490;6;7;15;21;24;27;31;Agosto
491;2;3;7;12;23;26;30;Junho
492;2;9;10;11;21;22;26;Novembro
493;6;7;11;12;19;23;30;Novembro
494;3;8;13;20;25;26;30;Janeiro
495;4;5;11;15;19;22;30;Maio
496;1;8;12;16;18;19;23;Junho
497;7;8;11;18;19;27;31;Dezembro
498;3;16;18;20;25;30;31;Novembro
499;8;9;11;12;14;20;21;Maio
500;2;7;9;15;22;24;27;Setembro
501;3;13;18;20;23;24;30;"Mar&ccedil;o"
502;1;5;8;18;26;27;31;Dezembro
503;2;3;5;9;15;22;29;Junho
504;2;9;10;11;21;30;31;Novembro
505;2;3;7;8;12;14;29;Fevereiro
506;4;6;16;20;26;27;29;Maio
507;7;8;14;15;16;17;23;Outubro
508;2;3;4;8;11;15;25;Fevereiro
509;1;3;5;6;15;20;23;Maio
510;5;6;16;17;21;27;31;"Mar&ccedil;o"
511;7;8;9;17;19;28;29;Agosto
512;4;5;10;12;13;21;23;Junho
513;6;7;15;24;27;29;31;Junho
514;1;2;5;8;15;17;18;Maio
515;5;7;14;15;18;20;24;"Mar&ccedil;o"
516;1;11;15;17;22;26;27;Abril
517;10;11;21;22;27;29;30;Janeiro
518;5;10;11;16;18;24;25;Novembro
519;8;9;12;13;16;19;24;Novembro
520;11;12;15;21;22;30;31;Julho
521;9;13;16;17;22;24;27;Maio
522;1;6;7;9;13;16;22;Julho
523;3;5;10;15;17;19;23;Agosto
524;4;7;14;17;19;21;29;Agosto
525;12;16;17;20;21;22;29;Maio
526;5;8;13;26;27;30;31;Dezembro
527;2;9;12;18;24;30;31;Fevereiro
528;4;5;9;13;17;18;31;Agosto
529;8;10;13;16;24;27;29;Outubro
530;3;11;13;23;26;27;30;"Mar&ccedil;o"
531;4;11;15;18;23;26;31;Julho
532;3;5;8;16;19;23;30;Abril
533;2;3;4;9;13;20;25;Julho
534;10;11;14;19;28;30;31;Abril
535;2;4;10;11;14;28;30;Novembro
536;3;5;8;10;12;22;27;Janeiro
537;8;11;13;19;22;24;28;Agosto
538;8;12;18;19;28;29;31;Dezembro
539;7;12;14;16;23;26;27;"Mar&ccedil;o"
540;7;9;10;13;18;21;25;Abril
541;1;4;6;8;13;17;31;Janeiro
542;3;6;10;13;15;17;29;Julho
543;3;4;6;10;18;20;26;Junho
544;2;8;9;11;17;24;28;Janeiro
545;1;6;12;19;21;22;26;"Mar&ccedil;o"
546;6;8;17;19;20;21;29;Maio
547;2;4;17;18;19;25;31;Dezembro
548;1;7;11;19;21;29;30;Abril
549;4;6;8;14;16;23;24;Julho
550;5;8;16;18;23;27;28;Abril
551;1;4;6;8;12;24;30;Fevereiro
552;6;13;14;21;23;27;29;Dezembro
553;6;8;14;19;23;26;30;Fevereiro
554;5;9;17;19;20;26;30;Junho
555;4;12;15;17;22;24;25;Maio
556;3;6;9;17;19;25;28;Agosto
557;1;7;10;12;20;23;26;Setembro
558;3;5;11;17;21;26;27;Janeiro
559;9;11;17;18;22;25;30;Fevereiro
560;12;14;17;19;27;29;30;Novembro
561;1;4;16;18;19;21;30;Julho
562;2;7;9;14;19;26;29;Junho
563;5;10;11;18;27;28;30;Abril
564;2;4;11;20;22;24;31;Dezembro
565;1;2;11;13;19;21;24;Junho
566;2;7;13;15;18;19;25;Fevereiro
567;8;12;19;21;23;25;28;Fevereiro
568;1;7;12;14;20;29;31;Outubro
569;1;2;4;9;17;21;31;Abril
570;9;18;20;21;23;24;29;Julho
571;9;13;16;18;23;26;31;Janeiro
572;3;7;10;12;14;27;30;Dezembro
573;6;13;22;24;26;29;30;Julho
574;11;14;22;23;24;26;29;Abril
575;3;4;6;10;12;14;23;Abril
576;2;3;6;8;16;25;26;Abril
577;4;7;10;14;25;29;30;Fevereiro
578;11;13;17;20;21;23;25;Junho
579;1;4;6;8;17;22;25;Janeiro
580;9;13;18;19;21;22;25;Maio
581;2;8;9;11;16;25;29;Novembro
582;9;10;17;20;21;22;26;Maio
583;3;6;10;15;21;25;29;Novembro
584;3;10;22;24;26;30;31;Janeiro
585;1;2;7;12;14;17;29;Abril
586;1;9;11;22;25;28;31;Fevereiro
587;6;10;11;13;19;21;29;Agosto
588;4;8;9;14;16;19;24;Agosto
589;2;12;16;17;18;22;23;Junho
590;1;5;8;18;19;27;28;Agosto
591;2;17;19;20;23;25;27;Julho
592;4;9;10;12;19;22;26;Julho
593;2;9;10;13;18;20;29;Dezembro
594;6;15;16;17;18;27;31;Julho
595;4;8;9;19;22;25;31;Abril
596;2;5;9;14;25;26;28;"Mar&ccedil;o"
597;6;7;10;13;22;24;29;Agosto
598;7;9;13;15;20;24;25;Junho
599;2;3;6;7;17;26;29;Novembro
600;2;4;9;11;18;24;28;Fevereiro
601;9;10;11;12;18;19;25;Dezembro
602;1;6;8;11;15;19;30;Novembro
603;2;21;22;26;27;28;31;Setembro
604;6;7;12;18;20;24;28;Julho
605;9;10;20;23;27;29;31;Dezembro
606;3;7;13;14;16;17;31;Janeiro
607;9;10;11;17;21;23;26;"Mar&ccedil;o"
608;7;8;12;22;26;27;31;Junho
609;2;4;9;11;19;30;31;Maio
610;2;4;8;16;18;21;29;Agosto
611;2;3;10;18;23;29;30;Janeiro
612;4;6;10;16;21;25;29;Dezembro
613;5;10;16;22;26;27;28;Outubro
614;1;3;7;9;16;24;26;Outubro
615;3;6;11;14;17;28;29;Junho
616;6;12;15;26;27;28;31;Outubro
617;1;6;8;13;15;21;25;Novembro
618;3;5;13;15;17;18;24;Junho
619;2;5;11;13;19;25;27;Setembro
620;1;4;15;18;22;23;30;Fevereiro
621;2;8;12;15;16;19;23;Setembro
622;4;9;11;22;25;28;29;Dezembro
623;6;10;15;17;20;27;30;Novembro
624;8;20;21;22;27;29;31;Fevereiro
625;2;6;10;12;19;30;31;Dezembro
626;1;4;7;9;11;19;27;Fevereiro
627;7;11;14;17;18;21;22;Novembro
628;5;8;10;16;20;24;31;"Mar&ccedil;o"
629;7;9;10;21;24;25;28;Janeiro
630;3;8;11;15;19;20;30;Fevereiro
631;6;11;14;18;19;22;29;"Mar&ccedil;o"
632;6;10;11;12;14;18;24;Janeiro
633;3;5;9;11;13;20;25;Fevereiro
634;3;4;8;16;21;30;31;Abril
635;2;8;11;13;15;16;17;Agosto
636;2;4;7;14;21;27;28;Janeiro
637;3;4;11;14;22;25;31;Janeiro
638;2;3;14;15;19;21;26;Dezembro
639;3;8;12;15;24;25;31;Julho
640;3;5;9;13;19;29;30;Junho
641;3;7;9;12;15;25;30;Junho
642;8;10;11;13;14;24;29;Julho
643;2;6;7;10;14;16;26;Fevereiro
644;7;8;17;19;20;22;26;Janeiro
645;5;7;11;19;24;29;31;Julho
646;1;4;5;13;15;22;24;Setembro
647;1;6;12;13;27;29;31;Junho
648;3;6;9;23;25;28;30;Agosto
649;4;5;8;14;18;19;30;Junho
650;1;4;6;11;14;20;25;"Mar&ccedil;o"
651;4;6;11;12;19;22;30;"Mar&ccedil;o"
652;8;9;14;19;24;26;30;Maio
653;1;3;12;15;22;24;30;Novembro
654;6;7;8;11;12;14;27;Novembro
655;4;8;12;20;26;27;31;Outubro
656;2;8;9;13;19;25;27;Outubro
657;6;7;16;19;25;28;30;Novembro
658;9;16;17;23;26;28;31;Setembro
659;4;5;7;12;20;24;31;Junho
660;7;8;9;11;17;23;28;Dezembro
661;2;5;9;14;23;26;29;Abril
662;1;5;13;15;23;26;28;Maio
663;1;2;3;15;20;30;31;Dezembro
664;3;4;10;16;24;25;27;Fevereiro
665;8;10;12;14;15;16;31;Novembro
666;5;6;8;24;27;28;29;Julho
667;4;11;12;20;24;28;29;Agosto
668;1;5;7;11;17;24;31;Outubro
669;1;4;11;14;15;22;24;Maio
670;10;12;15;17;19;28;30;Fevereiro
671;5;15;16;26;29;30;31;"Mar&ccedil;o"
672;2;3;7;8;18;29;30;Outubro
673;7;16;20;22;28;29;31;Julho
674;6;12;13;19;28;30;31;Fevereiro
675;4;7;8;10;17;20;26;Setembro
676;6;8;15;23;26;27;31;Janeiro
677;3;8;9;24;28;29;31;Maio
678;4;5;13;20;21;26;30;Julho
679;1;3;15;16;17;20;31;Outubro
680;4;5;14;16;20;24;28;"Mar&ccedil;o"
